CLOSED_ID,BUY_TXN_ID,SELL_TXN_ID,TICKER,INSTRUMENT_TYPE,OPTION_SYMBOL,STRIKE,EXPIRY,ACCOUNT_NAME,ACCOUNT_NUMBER,BUY_DATE,BUY_PRICE,BUY_QUANTITY,BUY_AMOUNT,SELL_DATE,SELL_PRICE,SELL_QUANTITY,SELL_AMOUNT,HOLD_DAYS,RETURN_PCT,RETURN_DOLLAR
QsIGJFKN08B88oXrCiAP,,,BE,CALL,BE260618C00245000,245,2026-06-18,IRA,,2026-05-22,70.76,1,7075.67,2026-05-29,50.19,1,5019.00,7,-29.07,-2056.67
CyRYSix0LrLw5W6Yg22S,,,AMD,CALL,AMD280121C00320000,320,2028-01-21,IRA,,2026-05-07,186.30,1,18630.03,2026-06-03,288.18,1,28818.00,27,54.69,10187.97
TqxcM6e8Sq7ZTQVO1xay,,,AMD,CALL,AMD280121C00320000,320,2028-01-21,IRA,,2026-05-07,186.30,1,18630.03,2026-06-04,283.98,1,28398.00,28,52.43,9767.97
kOcvJdIUpAxbyKMH1u7b,,,WDC,CALL,WDC270115C00210000,210,2027-01-15,Margin,,2/11/2026,108.68,1,10868.02,3/13/2026,111.05,1,11104.98,29,2.18,236.96
rzt77DZOUGyHdxY7YtZk,,,WDC,CALL,WDC270115C00210000,210,2027-01-15,Margin,,3/3/2026,93.75,1,9375.02,3/13/2026,111.05,1,11104.97,9,18.45,1729.95
9IufdqAU8EVfsq3xLoiA,,,COHR,CALL,COHR280121C00290000,290,2028-01-21,IRA ROTH,,2026-05-29,172.29,1,17228.67,2026-06-08,228.89,1,22888.85,10,32.85,5660.18
t2ls9fr7NPSvYkaYHaPU,,,TSM,CALL,TSM280121C00300000,300,2028-01-21,IRA,,2026-04-30,145.75,1,14575.02,2026-06-10,171.24,1,17123.97,41,17.49,2548.95
6anGvstx2fP6ego3kreJ,,,EWY,CALL,EWY280121C00120000,120,2028-01-21,IRA,,2026-05-19,69.27,1,6926.67,2026-06-10,88.32,1,8832.14,22,27.51,1905.47
ZP1CXjBAQPxEVxuPJsPQ,,,MRVL,CALL,MRVL270115C00060000,60,2027-01-15,IRA,,2026-03-30,34.71,1,3470.67,2026-04-09,64.10,1,6410.00,10,84.69,2939.33
GK0gxm1OAI35tkafiz3X,,,LULU,CALL,LULU280121C00095000,95,2028-01-21,IRA,,2026-05-12,51.24,1,5123.67,2026-05-28,57.00,1,5700.00,16,11.25,576.33
685bm6r6S0sCwvr6MGj3,,,VRT,CALL,VRT280121C00230000,230,2028-01-21,DI Ind.,,2026-04-28,133.01,1,13300.67,2026-05-07,165.84,1,16583.98,9,24.69,3283.31
ztxLaQZBAWoQup1LtYRx,,,ARM,CALL,ARM280121C00155000,155,2028-01-21,IRA,,2026-05-15,104.01,1,10400.67,2026-05-22,192.29,1,19228.93,7,84.88,8828.26
nUuCscbvTmwsOvS7JpId,,,ARM,CALL,ARM280121C00250000,250,2028-01-21,IRA,,2026-05-27,144.76,1,14475.67,2026-06-01,239.52,1,23951.83,5,65.46,9476.16
gvERwVSnzeyVrTE1poba,,,MRVL,CALL,MRVL280121C00120000,120,2028-01-21,DI Ind.,,2026-04-28,68.04,1,6803.67,2026-06-03,212.43,1,21243.00,36,212.23,14439.33
JlegOh4lVNA9OJcZkBvT,,,MRVL,CALL,MRVL270115C00055000,55,2027-01-15,Margin,,2/5/2026,25.00,1,2500.02,3/26/2026,49.15,1,4914.98,48,96.60,2414.96
gFsQ7LYo5UGsXBHPSi3J,,,COHR,CALL,COHR280121C00280000,280,2028-01-21,IRA,,2026-05-19,173.51,1,17350.67,2026-06-08,232.79,1,23278.85,20,34.17,5928.18
vk9pLzm7Z4YFlriUBS9f,,,WDAY,CALL,WDAY280121C00090000,90,2028-01-21,Margin,,2026-04-23,49.71,1,4970.67,2026-05-07,62.62,1,6261.85,14,25.98,1291.18
WaBm7nyE1N0EwDa50TyW,,,AMAT,CALL,AMAT280121C00300000,300,2028-01-21,IRA,,2026-05-01,161.00,1,16100.02,2026-05-07,176.14,1,17614.33,6,9.41,1514.31
0mLPVCI9l4qjr7ZdbUPD,,,NOW,CALL,NOW280121C00065000,65,2028-01-21,IRA,,2026-04-23,36.38,1,3637.67,2026-05-29,70.64,1,7064.00,36,94.19,3426.33
VqeUqupdO9dDvjZLpjvq,,,NOW,CALL,NOW280121C00065000,65,2028-01-21,IRA,,2026-04-23,39.68,1,3967.67,2026-05-29,35.40,1,3539.91,36,-10.78,-427.76
Hjwn3QqE5GDBYXIpoA7P,,,TSLA,CALL,TSLA270115C00240000,240,2027-01-15,IRA,,2026-03-30,133.58,1,13358.34,2026-04-28,156.73,1,15673.00,29,17.33,2314.66
RQ0LwIUTUcBAULkEBb0u,,,TSLA,CALL,TSLA270115C00240000,240,2027-01-15,IRA,,2026-03-30,133.58,1,13358.34,2026-04-28,156.64,1,15664.00,29,17.26,2305.66
chlZ1Ovw0ooEQtyaEs9r,,,TSLA,CALL,TSLA270115C00240000,240,2027-01-15,IRA,,2026-03-30,133.58,1,13358.34,2026-04-28,156.56,1,15656.00,29,17.20,2297.66
we7kbbE2wq5f7zcqibdB,,,LMND,CALL,LMND280121C00045000,45,2028-01-21,IRA,,2026-04-29,28.34,2,5667.35,2026-05-11,26.32,2,5264.54,12,-7.11,-402.81
VU6XPIeydgWbvZxiLTnF,,,AMD,CALL,AMD280121C00310000,310,2028-01-21,IRA ROTH,,2026-05-07,186.42,1,18642.02,2026-05-07,199.26,1,19925.56,0,6.89,1283.54
1EgaEayohXPSVWuLbw5h,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.92,1,3692.25,37,48.18,1200.58
AcxaiSaswmkQoqFhrQUK,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.49,1,3649.25,37,46.46,1157.58
Svx0fDqDLkvdS3ptkBTh,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.58,1,3658.25,37,46.82,1166.58
TYZ4JPoTxMCW81wO1FzS,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.52,1,3652.25,37,46.58,1160.58
qLsSbpISnCMA3aR8STNu,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.94,1,3694.25,37,48.26,1202.58
ywF2yF46vo4sMaKDjyOo,,,CVS,CALL,CVS280121C00062500,62.5,2028-01-21,IRA,,2026-04-29,24.92,1,2491.67,2026-06-05,36.49,1,3649.25,37,46.46,1157.58
KLMDX1EGDuEQHiwTnG7p,,,PANW,CALL,PANW280121C00135000,135,2028-01-21,IRA ROTH,,2026-04-23,65.51,1,6550.67,2026-05-07,81.75,1,8174.81,14,24.79,1624.14
vZSq5PYQx3EkExjflx9V,,,PANW,CALL,PANW280121C00135000,135,2028-01-21,IRA ROTH,,2026-04-24,66.29,1,6628.67,2026-05-07,81.75,1,8174.81,13,23.32,1546.14
cy50JLbX6SpVxuqz8EIq,,,DELL,CALL,DELL280121C00175000,175,2028-01-21,IRA,,2026-05-01,77.25,1,7725.02,2026-05-07,95.69,1,9568.77,6,23.87,1843.75
O92WfQmjVKZ76sM6AKa6,,,RDDT,CALL,RDDT280121C00115000,115,2028-01-21,DI Ind.,,2026-04-28,69.88,1,6987.67,2026-06-10,94.03,1,9403.13,43,34.57,2415.46
l0LDuixGxro0ruFBpTS2,,,ARM,CALL,ARM280121C00160000,160,2028-01-21,IRA ROTH,,2026-05-07,97.68,1,9768.02,2026-05-20,140.30,1,14030.00,13,43.63,4261.98
S6LAMGMRiUbAtnevvHQH,,,HIMS,CALL,HIMS280121C00025000,25,2028-01-21,IRA ROTH,,2026-04-29,12.95,5,6473.37,2026-05-15,10.84,5,5421.00,16,-16.26,-1052.37
W0P81P8jwEXRiZ2Oze6X,,,AMD,CALL,AMD270115C00150000,150,2027-01-15,Margin,,3/3/2026,63.10,1,6310.02,3/26/2026,82.95,1,8294.98,22,31.46,1984.96
lNxJMNcUNX4MQx54tTyX,,,AMD,CALL,AMD270115C00150000,150,2027-01-15,Margin,,2/5/2026,66.84,1,6684.02,3/25/2026,86.45,1,8644.98,47,29.34,1960.96
SAFXz74FAyaKdeBRhMRe,,,BE,CALL,BE280121C00190000,190,2028-01-21,IRA,,2026-04-30,157.00,1,15700.02,2026-05-07,152.25,1,15224.66,7,-3.03,-475.36
4tVfwdEkzGrSfLX8k2FA,,,ARM,CALL,ARM260515C00177200,177.2,2026-05-15,IRA,,2026-04-23,37.89,1,3788.67,2026-04-23,37.74,1,3774.25,0,-0.38,-14.42
eQTDJGBBe0vuVWamOiEq,,,NET,CALL,NET280121C00150000,150,2028-01-21,IRA,,2026-05-15,89.27,1,8926.67,2026-06-01,145.49,1,14549.03,17,62.98,5622.36
Sr1HboqRiUSg1rtQhFVO,,,CEG,CALL,CEG270115C00230000,230,2027-01-15,IRA,,2026-04-18,90.06,1,9005.67,2026-04-28,100.52,1,10052.45,10,11.62,1046.78
aZgLHH015UcrBZ4k45di,,,CEG,CALL,CEG270115C00230000,230,2027-01-15,IRA,,2026-04-18,91.86,1,9185.67,2026-04-28,100.52,1,10052.45,10,9.44,866.78
s2mqJrW6IWiTEW3Pwf1k,,,CEG,CALL,CEG270115C00230000,230,2027-01-15,IRA,,2026-04-21,78.61,1,7860.67,2026-04-28,100.52,1,10052.45,7,27.88,2191.78
eac21iyyPUW6Tf3BaLyh,,,MU,CALL,MU280121C00530000,530,2028-01-21,IRA,,2026-05-18,324.14,1,32413.67,2026-05-28,557.43,1,55743.18,10,71.97,23329.51
tuCC20hZ00wBfImZl3eV,,,NET,CALL,NET270115C00120000,120,2027-01-15,IRA,,2026-02-23,58.70,1,5870.02,2026-03-11,102.59,1,10258.98,16,74.77,4388.96
GiYZKaTXkeu6T1hAJWFt,,,MU,CALL,MU280121C00570000,570,2028-01-21,IRA,,2026-05-15,370.58,1,37057.67,2026-06-01,624.98,1,62498.04,17,68.65,25440.37
OhMhaNxmVoEMvGcqxtuP,,,STX,CALL,STX280121C00620000,620,2028-01-21,Margin,,2026-05-12,386.51,1,38650.67,2026-05-12,367.99,1,36798.57,0,-4.79,-1852.10
LWuXgsytI02JmKfWGN13,,,RDDT,CALL,RDDT280121C00115000,115,2028-01-21,IRA ROTH,,2026-04-28,70.28,1,7027.67,2026-06-10,93.39,1,9339.13,43,32.89,2311.46
IVTDoEB2q4W0SQbvvMdq,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-02-23,48.42,1,4841.68,2026-04-22,86.31,1,8631.15,58,78.27,3789.46
JqBc3vLs8RdmSQDlTvqP,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-02-04,48.42,1,4841.68,2026-04-15,71.35,1,7135.00,70,47.37,2293.32
WILfa2uqLEFQ2uMRf9Os,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-02-20,48.42,1,4841.68,2026-04-15,66.90,1,6690.00,54,38.18,1848.32
kIpCWZQ6uWfWWWPl2OYl,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-03-25,48.42,1,4841.68,2026-04-15,68.66,1,6866.00,21,41.81,2024.32
lRZlmBme5jHCT46tp12b,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-04-10,43.21,1,4320.67,2026-04-22,86.31,1,8631.15,12,99.76,4310.48
pXWx8fqiO68gLEuPijQ7,,,ORCL,CALL,ORCL270115C00110000,110,2027-01-15,IRA,,2026-04-09,42.35,1,4235.00,2026-04-22,86.31,1,8631.15,13,103.81,4396.15
jWLdFCcXf0ofZoktY16l,,,AMD,CALL,AMD270115C00160000,160,2027-01-15,Margin,,3/3/2026,57.90,1,5790.02,3/26/2026,76.08,1,7607.97,22,31.40,1817.95
qwsxZ6R1xn4TlKbaw2AK,,,AMD,CALL,AMD270115C00160000,160,2027-01-15,Margin,,2/4/2026,67.74,1,6774.02,3/26/2026,76.08,1,7607.98,49,12.31,833.96
rzC9jVXk1TTtFJ58OruK,,,LMND,CALL,LMND280121C00045000,45,2028-01-21,IRA,,2026-04-29,27.64,2,5527.34,2026-05-11,26.32,2,5264.54,12,-4.75,-262.80
fNdB5fDH86YsZo8kmBz5,,,SNOW,CALL,SNOW280121C00115000,115,2028-01-21,IRA ROTH,,2026-04-23,61.85,1,6184.67,2026-05-07,70.42,1,7041.80,14,13.86,857.13
m6z0pGFcFnN9ZDCTdnIq,,,SNOW,CALL,SNOW280121C00115000,115,2028-01-21,IRA ROTH,,2026-04-24,56.96,1,5695.67,2026-05-07,70.42,1,7041.80,13,23.63,1346.13
nTCkcFjCfPOe8sa0hk7I,,,SNOW,CALL,SNOW280121C00115000,115,2028-01-21,IRA ROTH,,2026-04-24,57.06,1,5705.67,2026-05-07,70.42,1,7041.80,13,23.42,1336.13
J8UpkryMyxjFnVoGXLkc,,,AMD,CALL,AMD280121C00290000,290,2028-01-21,IRA ROTH,,2026-04-28,117.41,1,11740.67,2026-05-07,198.45,1,19844.57,9,69.02,8103.90
O0HkwKgLyeDi3EgeYNjc,,,MDB,CALL,MDB280121C00240000,240,2028-01-21,IRA ROTH,,2026-05-29,141.26,1,14125.67,2026-06-10,183.34,1,18333.95,12,29.79,4208.28
zvt3WM9kelfLbe0cXDVi,,,EWY,CALL,EWY280121C00125000,125,2028-01-21,DI IRA,,2026-06-05,87.01,1,8700.67,2026-06-11,93.19,1,9319.13,6,7.11,618.46
vmh9IZpxkZZo8DWhmogB,,,OKTA,CALL,OKTA280121C00060000,60,2028-01-21,IRA,,2026-04-29,30.65,2,6129.35,2026-05-07,35.20,2,7040.00,8,14.86,910.65
3Kaq7oFLWE1euSHSdP1V,,,STX,CALL,STX280121C00570000,570,2028-01-21,IRA ROTH,,2026-05-07,366.90,1,36690.02,2026-06-08,485.62,1,48562.32,32,32.36,11872.30
VKuNklPsWTh1Tcfw611C,,,NET,CALL,NET260320C00120000,120,2026-03-20,IRA,,2/23/2026,42.39,1,4239.02,3/11/2026,90.22,1,9021.98,15,112.83,4782.96
JVfpB0AAWf0ekSt85IdP,,,CRWV,CALL,CRWV270115C00080000,80,2027-01-15,IRA,,2026-04-21,50.31,1,5030.67,2026-05-01,55.90,1,5589.86,10,11.12,559.19
ZxAjWKlQtMOoNAvRwczo,,,CRWV,CALL,CRWV270115C00080000,80,2027-01-15,IRA,,2026-04-20,48.04,1,4803.67,2026-05-01,53.95,1,5394.86,11,12.31,591.19
dYcTGE6bBQpwbnMRyF9m,,,CRWD,CALL,CRWD280121C00500000,500,2028-01-21,IRA,,2026-05-27,261.51,1,26150.67,2026-06-11,303.34,1,30333.70,15,16.00,4183.03
k6IGdAc3U8Cw3oGwoKBz,,,ARM,CALL,ARM280121C00170000,170,2028-01-21,IRA,,2026-04-28,83.51,1,8350.67,2026-05-07,94.00,1,9399.78,9,12.56,1049.11
rWplKgYjE6ATisxtiWf9,,,PI,CALL,PI261218C00070000,70,2026-12-18,IRA,,2026-04-02,43.31,1,4330.67,2026-04-23,58.79,1,5879.20,21,35.76,1548.53
XwovopWDU9TH8jXm1xPA,,,MRVL,CALL,MRVL280121C00110000,110,2028-01-21,IRA,,2026-04-28,73.47,1,7346.67,2026-05-26,116.62,1,11662.08,28,58.74,4315.41
cqibjXSDaZiI1JDodrxK,,,DELL,CALL,DELL280121C00155000,155,2028-01-21,IRA ROTH,,2026-04-29,84.26,1,8425.67,2026-05-07,105.75,1,10574.76,8,25.51,2149.09
3seIirvW4q3VpL3sOoXi,,,AMAT,CALL,AMAT280121C00300000,300,2028-01-21,IRA,,2026-04-28,154.97,1,15496.67,2026-05-07,176.14,1,17614.33,9,13.67,2117.66
bfavCVcafNr5Co8NNZVl,,,AMAT,CALL,AMAT280121C00300000,300,2028-01-21,DI Ind.,,2026-04-27,167.01,1,16700.67,2026-06-03,253.98,1,25398.00,37,52.08,8697.33
C0Xs2fPIVWjkIE7bxUZx,,,ARM,CALL,ARM280121C00170000,170,2028-01-21,IRA ROTH,,2026-04-27,92.67,1,9266.67,2026-05-07,94.27,1,9426.78,10,1.73,160.11
dvCFHZ9kD3FCx9ez9R3y,,,ARM,CALL,ARM280121C00170000,170,2028-01-21,IRA ROTH,,2026-04-27,93.04,1,9303.67,2026-05-07,94.27,1,9426.78,10,1.32,123.11
2SLj1bg1M3T3zLL6Q9xf,,,COHR,CALL,COHR280121C00250000,250,2028-01-21,IRA,,2026-05-07,151.75,1,15175.02,2026-06-02,258.05,1,25804.79,26,70.05,10629.77
wjktC3VM8WbUCT3kUsgs,,,NOW,CALL,NOW280121C00065000,65,2028-01-21,IRA,,2026-04-29,38.61,1,3860.67,2026-05-18,53.54,1,5354.00,19,38.68,1493.33
PKxmaXdXRNVzhyMzNaK3,,,FSLY,CALL,FSLY270115C00015000,15,2027-01-15,IRA,,2026-04-10,12.10,1,1210.00,2026-04-28,13.16,1,1316.30,18,8.78,106.30
g1jHmporSNXcM3x55a9p,,,FSLY,CALL,FSLY270115C00015000,15,2027-01-15,IRA,,2026-04-10,12.10,1,1210.00,2026-04-28,13.16,1,1316.30,18,8.78,106.30
GWJ5aqK86O7WpO1EgmTu,,,BE,CALL,BE280121C00190000,190,2028-01-21,IRA,,2026-04-28,120.91,1,12090.67,2026-05-07,152.94,1,15293.66,9,26.49,3202.99
V3Xg4LCu644Sctydgsva,,,DELL,CALL,DELL280121C00155000,155,2028-01-21,IRA ROTH,,2026-04-28,85.46,1,8545.67,2026-05-07,105.75,1,10574.76,9,23.74,2029.09
MhA6SYqPY3k841x4fKDT,,,SHOP,CALL,SHOP260515C00105000,105,2026-05-15,IRA ROTH,,2026-05-05,10.45,4,4180.09,2026-05-07,5.84,4,2335.86,2,-44.12,-1844.23
yRGdr1JWf33xfGZeZp8Z,,,SHOP,CALL,SHOP260515C00105000,105,2026-05-15,IRA ROTH,,2026-05-05,10.45,4,4180.09,2026-05-07,5.84,4,2335.86,2,-44.12,-1844.23
WWASBDEv4kaylLpasxJ6,,,SMCI,CALL,SMCI270115C00025000,25,2027-01-15,Margin,,3/3/2026,10.73,1,1073.02,3/11/2026,11.87,1,1186.97,7,10.62,113.95
hGxaI7yby1ThNBUtKMiY,,,SMCI,CALL,SMCI270115C00025000,25,2027-01-15,Margin,,2/5/2026,11.30,1,1130.02,3/11/2026,11.87,1,1186.98,33,5.04,56.96
w4EcCcl7bL7wV26cWmfo,,,SMCI,CALL,SMCI270115C00025000,25,2027-01-15,Margin,,2/5/2026,12.69,2,2538.05,3/11/2026,11.87,2,2373.96,33,-6.47,-164.09
1tpnxFKcLfimUqnyz4RK,,,MRVL,CALL,MRVL280121C00120000,120,2028-01-21,IRA,,2026-04-27,69.76,1,6975.67,2026-06-01,119.93,1,11993.08,35,71.93,5017.41
ZBBeomi6uR0Em2EYz2kF,,,AMD,CALL,AMD280121C00290000,290,2028-01-21,IRA ROTH,,2026-04-27,129.66,1,12965.67,2026-05-07,198.70,1,19869.57,10,53.25,6903.90
DkeqNMzElBNaBs4ywVcF,,,FSLY,CALL,FSLY270115C00015000,15,2027-01-15,IRA ROTH,,2026-04-17,13.01,1,1300.67,2026-04-28,14.49,1,1449.30,11,11.43,148.63
c9jywwiv3J2libFaAXPS,,,FSLY,CALL,FSLY270115C00015000,15,2027-01-15,IRA ROTH,,2026-04-17,13.01,4,5202.69,2026-04-28,14.49,4,5797.19,11,11.43,594.50
jzx2BKcEKm3wH63swQNn,,,FSLY,CALL,FSLY270115C00015000,15,2027-01-15,IRA ROTH,,2026-04-23,12.51,5,6253.37,2026-04-28,14.49,5,7246.48,5,15.88,993.11
0hCfnkW7RqUEJj6Bj0HZ,,,PWR,CALL,PWR280121C00500000,500,2028-01-21,IRA,,2026-04-29,224.71,1,22470.67,2026-05-07,337.99,1,33799.28,8,50.42,11328.61
9TcbeF5i5pgXTqqI5lCB,,,ARM,CALL,ARM280121C00240000,240,2028-01-21,IRA,,2026-05-22,151.60,1,15160.00,2026-06-01,244.74,1,24473.82,10,61.44,9313.82
F86gymQ0jkYgxnDpw5ue,,,TSLA,CALL,TSLA270115C00300000,300,2027-01-15,DI IND,,2026-04-08,124.91,1,12490.67,2026-04-15,155.00,1,15500.01,7,24.09,3009.34
cbuxFfQ0dgIxxT8wcKmw,,,TSLA,CALL,TSLA270115C00300000,300,2027-01-15,DI IND,,2026-03-13,161.22,1,16121.67,2026-04-15,155.00,1,15500.01,33,-3.86,-621.66
CvkDvKQNG0R9yWR4CGNi,,,WDC,CALL,WDC270115C00210000,210,2027-01-15,IRA,,2/11/2026,109.65,1,10965.02,3/26/2026,113.90,1,11389.98,42,3.88,424.96
naLwYj6U9FDE5QmPcRj0,,,WDC,CALL,WDC270115C00210000,210,2027-01-15,IRA,,3/12/2026,99.50,1,9950.02,3/26/2026,113.90,1,11389.97,14,14.47,1439.95
ybq3NJvkHxVMPynuFVH3,,,FIG,CALL,FIG280121C00015000,15,2028-01-21,IRA,,2026-04-16,7.96,5,3978.35,2026-05-01,7.82,5,3909.79,15,-1.72,-68.56
5EgAUNi79rIMzdCRj640,,,MDB,CALL,MDB280121C00190000,190,2028-01-21,IRA ROTH,,2026-04-23,120.01,1,12000.67,2026-05-07,154.58,1,15457.66,14,28.81,3456.99
DSN9z0qxhP9GTpHFluEQ,,,MDB,CALL,MDB280121C00190000,190,2028-01-21,IRA ROTH,,2026-04-24,117.83,1,11782.67,2026-05-07,154.58,1,15457.66,13,31.19,3674.99
dEXpdgUm3ZxnwoSeT95f,,,QCOM,CALL,QCOM280121C00150000,150,2028-01-21,IRA,,2026-05-14,76.83,1,7682.67,2026-06-03,128.60,1,12860.00,20,67.39,5177.33
1F9yWlHrUUwtRKy65zn8,,,MRVL,CALL,MRVL270115C00100000,100,2027-01-15,IRA,,2026-04-16,47.56,1,4755.67,2026-04-28,65.39,1,6539.19,12,37.50,1783.52
JzMYqaC7kW0KE4bcLV9Z,,,NOW,CALL,NOW280121C00070000,70,2028-01-21,IRA ROTH,,2026-04-23,36.55,1,3654.67,2026-05-08,41.50,1,4149.75,15,13.55,495.08
LCo5wFPEdvJnZDbeJJsl,,,NOW,CALL,NOW280121C00070000,70,2028-01-21,IRA ROTH,,2026-04-23,34.01,1,3400.67,2026-05-08,41.50,1,4149.75,15,22.03,749.08
TyhdKZntkiMIghhsGycK,,,NOW,CALL,NOW280121C00070000,70,2028-01-21,IRA ROTH,,2026-04-23,34.96,1,3495.67,2026-05-08,41.50,1,4149.75,15,18.71,654.08
yGauqXyXksP39Jk1jITZ,,,NOW,CALL,NOW280121C00070000,70,2028-01-21,IRA ROTH,,2026-04-23,33.71,1,3370.67,2026-05-08,41.50,1,4149.75,15,23.11,779.08
CUs9TCDINtaYk1eRKhCh,,,MU,CALL,MU280121C00600000,600,2028-01-21,IRA ROTH,,2026-05-12,381.06,1,38105.67,2026-06-01,625.08,1,62508.04,20,64.04,24402.37
wf0McivXPruC6xioxhiS,,,MU,CALL,MU280121C00500000,500,2028-01-21,IRA ROTH,,2026-05-07,308.25,1,30825.02,2026-05-26,546.93,1,54693.00,19,77.43,23867.98
AYPJPwQchXqgcEvo0rB2,,,SNOW,CALL,SNOW280121C00120000,120,2028-01-21,IRA ROTH,,2026-05-11,65.01,1,6500.67,2026-05-28,140.99,1,14099.03,17,116.89,7598.36
3gAgfWczlKbODQK43Mqw,,,NVDA,CALL,NVDA270115C00150000,150,2027-01-15,IRA,,2026-02-26,46.63,4,18653.28,2026-04-27,72.15,4,28861.71,60,54.73,10208.43
7qHHljn4NoTCOBsVXHVs,,,NVDA,CALL,NVDA270115C00150000,150,2027-01-15,IRA,,2026-02-13,52.85,1,5285.02,2026-04-15,59.64,1,5964.00,61,12.85,678.98
izzQ2bAUNgmVaOZErE7d,,,NVDA,CALL,NVDA270115C00150000,150,2027-01-15,IRA,,2026-03-13,46.63,7,32643.25,2026-04-28,71.44,7,50009.25,46,53.20,17366.00
Cg1EIVc7BJxVfRM6oKM3,,,ANET,CALL,ANET280121C00105000,105,2028-01-21,IRA,,2026-05-11,55.76,1,5575.67,2026-06-02,89.97,1,8997.14,22,61.36,3421.47
TkBxFUkCwxVM2ZGZ6jO8,,,LMND,CALL,LMND280121C00045000,45,2028-01-21,IRA,,2026-05-07,25.45,2,5090.05,2026-05-11,26.32,2,5264.54,4,3.43,174.49
